"filename", "language", "JavaScript", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\date.js", "JavaScript", 16, 0, 1, 1, 18
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\gallery.js", "JavaScript", 26, 0, 10, 8, 44
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\login.js", "JavaScript", 29, 0, 8, 11, 48
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\scroll.js", "JavaScript", 7, 0, 0, 3, 10
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\tableMergeSort.js", "JavaScript", 123, 0, 20, 27, 170
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\tablePagination.js", "JavaScript", 95, 0, 20, 9, 124
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\test.js", "JavaScript", 36, 0, 18, 0, 54
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert.php", "PHP", 0, -66, -2, -6, -74
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\1.php", "PHP", 0, -131, -2, -8, -141
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\2.php", "PHP", 0, -124, -2, -9, -135
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\3.php", "PHP", 0, 0, 0, -1, -1
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\4.php", "PHP", 0, 0, 0, -1, -1
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\Dashboard.php", "PHP", 0, -555, -7, -20, -582
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\MyEvents.php", "PHP", 0, -361, -15, -26, -402
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\MyOrders.php", "PHP", 0, -383, -10, -23, -416
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\login.php", "PHP", 0, -112, 0, -15, -127
"Total", "-", 332, -1732, 39, -50, -1411
