"filename", "language", "PHP", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\date.js", "JavaScript", 0, -16, -1, -1, -18
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\gallery.js", "JavaScript", 0, -26, -10, -8, -44
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\login.js", "JavaScript", 0, -29, -8, -11, -48
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\scroll.js", "JavaScript", 0, -7, 0, -3, -10
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\tableMergeSort.js", "JavaScript", 0, -123, -20, -27, -170
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\tablePagination.js", "JavaScript", 0, -95, -20, -9, -124
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Javascript\test.js", "JavaScript", 0, -36, -18, 0, -54
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert.php", "PHP", 66, 0, 2, 6, 74
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\1.php", "PHP", 131, 0, 2, 8, 141
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\2.php", "PHP", 124, 0, 2, 9, 135
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\3.php", "PHP", 0, 0, 0, 1, 1
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\4.php", "PHP", 0, 0, 0, 1, 1
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\Dashboard.php", "PHP", 555, 0, 7, 20, 582
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\MyEvents.php", "PHP", 361, 0, 15, 26, 402
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\MyOrders.php", "PHP", 383, 0, 10, 23, 416
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\login.php", "PHP", 112, 0, 0, 15, 127
"Total", "-", 1732, -332, -39, 50, 1411
