"filename", "language", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert.php", "PHP", 66, 2, 6, 74
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\1.php", "PHP", 131, 2, 8, 141
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\2.php", "PHP", 124, 2, 9, 135
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\3.php", "PHP", 0, 0, 1, 1
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\4.php", "PHP", 0, 0, 1, 1
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\Dashboard.php", "PHP", 555, 7, 20, 582
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\MyEvents.php", "PHP", 361, 15, 26, 402
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\MyOrders.php", "PHP", 383, 10, 23, 416
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\login.php", "PHP", 112, 0, 15, 127
"Total", "-", 1732, 38, 109, 1879
