"filename", "language", "CSS", "PHP", "comment", "blank", "total"
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\CSS\PagesCSS\createConcertPages\concert1.css", "CSS", 72, 0, 0, 9, 81
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\CSS\PagesCSS\createConcertPages\concert2.css", "CSS", 12, 0, 0, 1, 13
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\CSS\PagesCSS\createconcert.css", "CSS", 143, 0, 0, 26, 169
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\CSS\PagesCSS\dashboard.css", "CSS", 320, 0, 0, 72, 392
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\CSS\PagesCSS\login.css", "CSS", 202, 0, 24, 59, 285
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\CSS\PagesCSS\myevents.css", "CSS", 143, 0, 2, 33, 178
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\CSS\PagesCSS\myorders.css", "CSS", 117, 0, 0, 20, 137
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\CSS\reset.css", "CSS", 78, 0, 3, 13, 94
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\CSS\styles.css", "CSS", 702, 0, 32, 162, 896
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert.php", "PHP", 0, -66, -2, -6, -74
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\1.php", "PHP", 0, -131, -2, -8, -141
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\2.php", "PHP", 0, -124, -2, -9, -135
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\3.php", "PHP", 0, 0, 0, -1, -1
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\CreateConcert\4.php", "PHP", 0, 0, 0, -1, -1
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\Dashboard.php", "PHP", 0, -555, -7, -20, -582
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\MyEvents.php", "PHP", 0, -361, -15, -26, -402
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\Admin\MyOrders.php", "PHP", 0, -383, -10, -23, -416
"c:\xampp\htdocs\ComputerScienceNEA\RootFolder\Pages\login.php", "PHP", 0, -112, 0, -15, -127
"Total", "-", 1789, -1732, 23, 286, 366
